inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.644016,72.294576
ST,418,0.045556,0.430852
MM,0,0,0
MV,9854,9.504427,89.889721
MISC,4545,0.376178,3.557765
SYS,418,0.000581,0.005491
TOTAL,112981,10.573430,100
