inst_type,inst_cnt,part_time,part_time_ratio
LD,105938,8.033043,72.324050
ST,418,0.050612,0.455672
MM,0,0,0
MV,10878,9.811627,88.337206
MISC,4545,0.430222,3.873428
SYS,418,0.000581,0.005227
TOTAL,122197,11.107015,100
