inst_type,inst_cnt,part_time,part_time_ratio
LD,728024,104.406553,36.016869
ST,720640,0.932377,0.321640
MM,127952,274.240853,94.604185
MV,0,0,0
MISC,248960,9.318400,3.214545
SYS,354,0.000492,0.000170
TOTAL,1825930,289.882369,100
