inst_type,inst_cnt,part_time,part_time_ratio
LD,105938,7.846779,72.559727
ST,418,0.046886,0.433561
MM,0,0,0
MV,10878,9.652338,89.255864
MISC,4545,0.390400,3.610057
SYS,418,0.000581,0.005368
TOTAL,122197,10.814234,100
