inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.457752,72.541645
ST,418,0.041831,0.406886
MM,0,0,0
MV,9854,9.345138,90.900273
MISC,4545,0.336356,3.271735
SYS,418,0.000581,0.005647
TOTAL,112981,10.280649,100
