inst_type,inst_cnt,part_time,part_time_ratio
LD,105938,7.966520,72.406780
ST,418,0.049281,0.447910
MM,0,0,0
MV,10878,9.754738,88.659685
MISC,4545,0.416000,3.780976
SYS,418,0.000581,0.005277
TOTAL,122197,11.002450,100
