inst_type,inst_cnt,part_time,part_time_ratio
LD,105938,8.046348,72.307690
ST,418,0.050878,0.457207
MM,0,0,0
MV,10878,9.823004,88.273437
MISC,4545,0.433067,3.891710
SYS,418,0.000581,0.005217
TOTAL,122197,11.127928,100
