inst_type,inst_cnt,part_time,part_time_ratio
LD,114130,8.541811,72.211885
ST,418,0.058062,0.490853
MM,0,0,0
MV,11902,10.221227,86.409547
MISC,4545,0.509867,4.310378
SYS,418,0.000581,0.004908
TOTAL,131413,11.828816,100
