inst_type,inst_cnt,part_time,part_time_ratio
LD,114130,8.634944,72.106841
ST,418,0.059925,0.500407
MM,0,0,0
MV,11902,10.300871,86.018314
MISC,4545,0.529778,4.423955
SYS,418,0.000581,0.004848
TOTAL,131413,11.975207,100
