inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.431143,72.578094
ST,418,0.041298,0.403350
MM,0,0,0
MV,9854,9.322382,91.049355
MISC,4545,0.330667,3.229538
SYS,418,0.000581,0.005670
TOTAL,112981,10.238823,100
