inst_type,inst_cnt,part_time,part_time_ratio
LD,105938,8.219308,72.100479
ST,418,0.054337,0.476648
MM,0,0,0
MV,10878,9.970916,87.465736
MISC,4545,0.470044,4.123271
SYS,418,0.000581,0.005093
TOTAL,122197,11.399796,100
