inst_type,inst_cnt,part_time,part_time_ratio
LD,105938,8.072957,72.275155
ST,418,0.051410,0.460259
MM,0,0,0
MV,10878,9.845760,88.146616
MISC,4545,0.438756,3.928068
SYS,418,0.000581,0.005198
TOTAL,122197,11.169754,100
