inst_type,inst_cnt,part_time,part_time_ratio
LD,89554,6.933018,72.535537
ST,418,0.034912,0.365262
MM,0,0,0
MV,8830,8.958293,93.724640
MISC,4545,0.262400,2.745316
SYS,418,0.000581,0.006074
TOTAL,103765,9.558098,100
