inst_type,inst_cnt,part_time,part_time_ratio
LD,89554,6.704711,72.233932
ST,418,0.031453,0.338862
MM,0,0,0
MV,8830,8.810382,94.919610
MISC,4545,0.225422,2.428611
SYS,418,0.000581,0.006255
TOTAL,103765,9.281941,100
