inst_type,inst_cnt,part_time,part_time_ratio
LD,105938,8.019738,72.340471
ST,418,0.050345,0.454131
MM,0,0,0
MV,10878,9.800249,88.401215
MISC,4545,0.427378,3.855077
SYS,418,0.000581,0.005237
TOTAL,122197,11.086102,100
