inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.404533,72.614843
ST,418,0.040766,0.399786
MM,0,0,0
MV,9854,9.299627,91.199660
MISC,4545,0.324978,3.186995
SYS,418,0.000581,0.005693
TOTAL,112981,10.196997,100
