inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.604102,72.346360
ST,418,0.044758,0.425829
MM,0,0,0
MV,9854,9.470293,90.101528
MISC,4545,0.367644,3.497814
SYS,418,0.000581,0.005523
TOTAL,112981,10.510691,100
