inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.590798,72.363760
ST,418,0.044491,0.424141
MM,0,0,0
MV,9854,9.458916,90.172694
MISC,4545,0.364800,3.477671
SYS,418,0.000581,0.005534
TOTAL,112981,10.489778,100
