inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.377924,72.651893
ST,418,0.040234,0.396192
MM,0,0,0
MV,9854,9.276871,91.351204
MISC,4545,0.319289,3.144101
SYS,418,0.000581,0.005717
TOTAL,112981,10.155171,100
