inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.311401,72.745870
ST,418,0.038904,0.387076
MM,0,0,0
MV,9854,9.219982,91.735581
MISC,4545,0.305067,3.035306
SYS,418,0.000581,0.005776
TOTAL,112981,10.050606,100
