inst_type,inst_cnt,part_time,part_time_ratio
LD,105938,7.953215,72.423516
ST,418,0.049015,0.446340
MM,0,0,0
MV,10878,9.743360,88.724918
MISC,4545,0.413156,3.762274
SYS,418,0.000581,0.005287
TOTAL,122197,10.981537,100
