inst_type,inst_cnt,part_time,part_time_ratio
LD,114130,8.714771,72.018827
ST,418,0.061521,0.508412
MM,0,0,0
MV,11902,10.369138,85.690505
MISC,4545,0.546844,4.519120
SYS,418,0.000581,0.004798
TOTAL,131413,12.100685,100
