inst_type,inst_cnt,part_time,part_time_ratio
LD,89554,6.915456,72.530926
ST,418,0.034646,0.363376
MM,0,0,0
MV,8830,8.946916,93.837352
MISC,4545,0.259556,2.722280
SYS,418,0.000581,0.006089
TOTAL,103765,9.534493,100
