inst_type,inst_cnt,part_time,part_time_ratio
LD,89554,6.810083,72.384422
ST,418,0.033049,0.351283
MM,0,0,0
MV,8830,8.878649,94.371218
MISC,4545,0.242489,2.577416
SYS,418,0.000581,0.006171
TOTAL,103765,9.408217,100
