inst_type,inst_cnt,part_time,part_time_ratio
LD,114130,8.461984,72.304013
ST,418,0.056466,0.482474
MM,0,0,0
MV,11902,10.152960,86.752680
MISC,4545,0.492800,4.210764
SYS,418,0.000581,0.004961
TOTAL,131413,11.703339,100
