inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.324706,72.726918
ST,418,0.039170,0.388914
MM,0,0,0
MV,9854,9.231360,91.658067
MISC,4545,0.307911,3.057246
SYS,418,0.000581,0.005764
TOTAL,112981,10.071519,100
