inst_type,inst_cnt,part_time,part_time_ratio
LD,114130,8.608334,72.136591
ST,418,0.059393,0.497701
MM,0,0,0
MV,11902,10.278116,86.129115
MISC,4545,0.524089,4.391789
SYS,418,0.000581,0.004865
TOTAL,131413,11.933381,100
