inst_type,inst_cnt,part_time,part_time_ratio
LD,114130,8.422070,72.350822
ST,418,0.055667,0.478217
MM,0,0,0
MV,11902,10.118827,86.927020
MISC,4545,0.484267,4.160152
SYS,418,0.000581,0.004987
TOTAL,131413,11.640600,100
