inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.391229,72.633330
ST,418,0.040500,0.397993
MM,0,0,0
MV,9854,9.288249,91.275276
MISC,4545,0.322133,3.165592
SYS,418,0.000581,0.005705
TOTAL,112981,10.176084,100
