inst_type,inst_cnt,part_time,part_time_ratio
LD,97746,7.657321,72.277450
ST,418,0.045822,0.432513
MM,0,0,0
MV,9854,9.515804,89.819676
MISC,4545,0.379022,3.577591
SYS,418,0.000581,0.005480
TOTAL,112981,10.594343,100
