inst_type,inst_cnt,part_time,part_time_ratio
LD,2977704,426.847472,36.130058
ST,2882560,4.000220,0.338594
MM,550168,1109.111324,93.879568
MV,0,0,0
MISC,995840,49.550222,4.194127
SYS,354,0.000492,0.000042
TOTAL,7406626,1181.419287,100
